Z,N,BE,bet2,bet4,Rch,Edef,Sn,Sp,Qbet,Mcal,Mexp-Mcal,Jexp,Jth,Pexp,Pth
95,224,2018.37877,0.24,0.02,6.323,9.03,-0.38,17.06,18.55,482.05,999.99,99.9,1.5,9,1
95,225,2018.130088,0.23,0.02,6.324,8.42,-0.24,17.41,18.64,490.37,999.99,99.9,0.0,9,-1
95,226,2017.931406,0.23,0.02,6.332,8.3,-0.2,17.28,18.66,498.64,999.99,99.9,1.5,9,1
95,227,2017.242724,0.22,0.0,6.337,7.4,-0.69,17.2,18.89,507.4,999.99,99.9,1.0,9,-1
95,228,2017.114042,0.21,-0.01,6.337,7.33,-0.13,17.33,18.96,515.6,999.99,99.9,1.5,9,-1
95,229,2016.945359,0.21,-0.01,6.344,6.2,-0.17,999.99,18.61,523.84,999.99,99.9,2.0,9,1
96,118,1587.048057,0.18,-0.01,5.697,5.69,999.99,-0.83,999.99,65.11,999.99,0.0,0.0,1,1
96,119,1596.489375,-0.17,0.03,5.703,4.58,9.43,-0.52,999.99,63.74,999.99,99.9,0.5,9,-1
96,120,1607.610693,-0.14,0.02,5.696,4.0,11.13,-0.36,-12.8,60.69,999.99,0.0,0.0,1,1
96,121,1617.272011,-0.13,0.02,5.697,3.23,9.66,-0.6,-11.33,59.1,999.99,99.9,1.5,9,-1
96,122,1628.253329,-0.11,0.0,5.697,2.8,10.98,-0.31,-12.29,56.19,999.99,0.0,0.0,1,1
96,123,1637.504647,-0.1,-0.01,5.7,2.36,9.25,0.66,-10.55,55.01,999.99,99.9,1.5,9,-1
96,124,1647.955965,0.06,0.0,5.703,1.55,10.44,0.11,-11.64,52.63,999.99,0.0,0.0,1,1
96,125,1656.037283,0.0,0.0,5.703,0.0,8.09,0.28,-8.92,52.62,999.99,99.9,0.5,9,-1
96,126,1666.358601,0.0,0.0,5.708,0.0,10.32,0.47,-10.75,50.37,999.99,0.0,0.0,1,1
96,127,1672.699919,0.0,0.0,5.717,0.0,6.34,0.82,-6.54,52.1,999.99,99.9,4.5,9,1
96,128,1683.991236,0.05,0.0,5.723,1.4,11.29,1.38,-11.24,48.88,999.99,0.0,0.0,1,1
96,129,1690.822554,-0.07,0.02,5.73,1.68,6.83,1.93,-6.87,50.12,999.99,99.9,4.5,9,1
96,130,1700.033872,0.07,0.01,5.73,1.92,9.21,1.33,-8.75,48.98,999.99,0.0,0.0,1,1
96,131,1708.43519,0.18,0.06,5.769,3.68,8.41,2.16,-7.65,48.65,999.99,99.9,1.5,9,1
96,132,1717.376508,0.2,0.1,5.781,4.25,8.94,2.52,-7.88,47.78,999.99,0.0,0.0,1,1
96,133,1725.487826,0.22,0.12,5.792,5.7,8.11,2.7,-6.91,47.74,999.99,99.9,0.5,9,-1
96,134,1734.209144,0.22,0.12,5.801,6.54,8.72,2.98,-7.24,47.09,999.99,0.0,0.0,1,1
96,135,1741.750462,0.24,0.14,5.814,7.43,7.54,2.88,-5.78,47.62,999.99,99.9,0.5,9,-1
96,136,1750.64178,0.26,0.16,5.83,8.8,8.89,3.72,-6.7,46.8,999.99,0.0,0.0,1,1
96,137,1757.993098,0.28,0.17,5.847,9.55,7.35,3.85,-5.44,47.52,-0.23,99.9,2.5,9,-1
96,138,1766.254415,0.27,0.16,5.845,10.55,8.26,3.96,-6.2,47.33,-0.6,0.0,0.0,1,1
96,139,1773.495733,0.29,0.17,5.859,11.23,7.24,4.4,-4.94,48.16,999.99,99.9,1.5,9,1
96,140,1781.277051,0.27,0.15,5.854,11.93,7.78,3.88,-5.09,48.45,-0.6,0.0,0.0,1,1
96,141,1788.118369,0.3,0.16,5.879,12.23,6.84,4.46,-3.82,49.68,-0.44,99.9,0.5,9,-1
96,142,1795.939687,0.28,0.16,5.875,13.13,7.82,4.73,-4.57,49.93,-0.49,0.0,0.0,1,1
96,143,1802.481005,0.28,0.16,5.879,13.15,6.55,5.08,-3.33,51.46,-0.31,3.5,3.5,-1,-1
96,144,1809.892323,0.27,0.13,5.882,13.84,7.4,5.13,-4.27,52.12,-0.4,0.0,0.0,1,1
96,145,1816.003641,0.29,0.13,5.899,13.51,6.12,5.23,-2.43,54.08,-0.37,0.5,0.5,1,1
96,146,1822.894959,0.28,0.14,5.891,13.97,6.89,5.46,-2.92,55.26,-0.45,0.0,0.0,1,1
96,147,1828.816277,0.29,0.13,5.905,13.61,5.92,5.67,-1.45,57.41,-0.23,2.5,2.5,1,1
96,148,1835.757594,0.28,0.11,5.905,14.36,6.94,6.04,-2.5,58.54,-0.08,0.0,0.0,1,1
96,149,1841.148912,0.29,0.11,5.916,13.94,5.39,6.18,-0.88,61.22,-0.21,3.5,3.5,1,1
96,150,1847.75023,0.3,0.1,5.931,14.2,6.59,6.51,-1.69,62.69,-0.08,0.0,0.0,1,1
96,151,1852.491548,0.28,0.1,5.921,13.22,4.74,6.42,0.37,66.02,-0.49,4.5,4.5,-1,-1
96,152,1859.002866,0.29,0.09,5.933,13.57,6.52,6.94,-0.83,67.58,-0.18,0.0,0.0,1,1
96,153,1863.844184,0.28,0.07,5.934,12.77,4.84,6.97,0.84,70.81,-0.06,0.5,0.5,1,1
96,154,1869.755502,0.28,0.07,5.933,12.67,5.91,6.99,-0.05,72.97,0.02,0.0,0.0,1,1
96,155,1874.46682,0.27,0.04,5.941,11.88,4.71,7.46,1.28,76.33,0.31,0.5,3.5,1,1
96,156,1879.908138,0.27,0.06,5.944,11.49,5.44,7.46,0.76,78.96,999.99,0.0,0.0,1,1
96,157,1884.399456,0.27,0.04,5.95,10.73,4.49,7.45,1.97,82.54,999.99,99.9,1.5,9,1
96,158,1890.000773,0.26,0.03,5.957,10.64,5.6,7.75,1.15,85.01,999.99,0.0,0.0,1,1
96,159,1893.852091,0.27,0.03,5.961,9.5,3.85,7.52,2.71,89.23,999.99,99.9,5.5,9,-1
96,160,1899.443409,0.25,0.01,5.963,9.49,5.6,7.81,1.39,91.71,999.99,0.0,0.0,1,1
96,161,1903.864727,0.24,0.01,5.965,9.21,4.42,8.42,2.58,95.36,999.99,99.9,4.5,9,1
96,162,1908.496045,0.24,0.0,5.965,8.27,4.63,8.3,2.34,98.8,999.99,0.0,0.0,1,1
96,163,1912.087363,0.24,0.0,5.971,7.46,3.58,8.33,3.72,103.28,999.99,99.9,6.5,9,-1
96,164,1917.238681,0.21,-0.02,5.969,7.07,5.16,8.68,2.53,106.2,999.99,0.0,0.0,1,1
96,165,1921.109999,0.21,-0.01,5.973,6.34,3.87,8.78,3.94,110.4,999.99,99.9,4.5,9,1
96,166,1925.591317,0.21,-0.02,5.976,5.83,4.48,8.91,3.25,113.99,999.99,0.0,0.0,1,1
96,167,1929.382635,0.19,-0.02,5.98,5.17,3.79,9.06,4.47,118.27,999.99,99.9,1.5,9,1
96,168,1933.593952,0.19,-0.02,5.984,4.61,4.21,9.13,4.08,122.13,999.99,0.0,0.0,1,1
96,169,1936.72527,0.16,0.0,5.976,3.47,3.13,9.53,4.96,127.07,999.99,99.9,2.5,9,1
96,170,1941.006588,-0.15,0.03,5.984,3.18,4.28,9.42,4.27,130.86,999.99,0.0,0.0,1,1
96,171,1944.817906,-0.13,0.03,5.988,2.98,3.81,9.89,4.93,135.12,999.99,99.9,3.5,9,1
96,172,1949.249224,-0.14,0.03,5.994,2.95,4.44,9.88,4.05,138.76,999.99,0.0,0.0,1,1
96,173,1952.340542,-0.12,0.01,5.99,2.26,3.09,9.66,5.54,143.74,999.99,99.9,3.5,9,1
96,174,1956.90186,-0.12,0.01,5.997,2.48,4.55,9.98,4.39,147.25,999.99,0.0,0.0,1,1
96,175,1959.933178,-0.11,0.0,6.002,2.02,3.04,10.16,5.71,152.29,999.99,99.9,3.5,9,1
96,176,1964.034496,-0.09,0.01,6.003,1.87,4.09,10.31,4.94,156.26,999.99,0.0,0.0,1,1
96,177,1966.825814,-0.07,-0.01,6.011,1.52,2.8,10.24,6.46,161.54,999.99,99.9,3.5,9,1
96,178,1970.547131,-0.07,-0.01,6.006,1.05,3.72,10.36,5.8,165.89,999.99,0.0,0.0,1,1
96,179,1973.248449,-0.05,0.0,6.012,0.52,2.7,10.58,7.13,171.26,999.99,99.9,0.5,9,1
96,180,1976.419767,0.0,0.0,6.021,0.0,3.17,10.28,6.64,176.16,999.99,0.0,0.0,1,1
96,181,1979.311085,0.0,0.0,6.026,0.0,2.89,10.9,7.25,181.34,999.99,99.9,1.5,9,1
96,182,1982.852403,0.0,0.0,6.031,0.0,3.54,11.01,6.33,185.87,999.99,0.0,0.0,1,1
96,183,1985.243721,0.0,0.0,6.035,0.0,2.38,11.11,7.64,191.55,999.99,99.9,1.5,9,1
96,184,1988.675039,0.0,0.0,6.04,0.0,3.44,11.22,6.71,196.19,999.99,0.0,0.0,1,1
96,185,1988.976357,0.0,0.0,6.045,0.0,0.3,11.36,10.0,203.96,999.99,99.9,5.5,9,-1
96,186,1992.407675,0.0,0.0,6.051,0.0,3.43,11.55,7.02,208.6,999.99,0.0,0.0,1,1
96,187,1993.058993,0.0,0.0,6.056,0.0,0.65,11.69,9.98,216.02,999.99,99.9,5.5,9,-1
96,188,1995.75031,0.0,0.0,6.063,0.0,2.69,11.87,8.1,221.4,999.99,0.0,0.0,1,1
96,189,1996.621628,0.0,0.0,6.068,0.0,0.87,12.01,10.09,228.6,999.99,99.9,5.5,9,-1
96,190,1998.792946,0.0,0.0,6.074,0.0,2.17,12.2,8.94,234.5,999.99,0.0,0.0,1,1
96,191,1999.854264,0.0,0.0,6.08,0.0,1.05,12.34,10.23,241.51,999.99,99.9,5.5,9,-1
96,192,2002.425582,0.17,0.12,6.124,0.87,2.58,12.79,8.87,247.01,999.99,0.0,0.0,1,1
96,193,2005.0069,0.23,0.12,6.15,2.27,2.58,13.99,8.16,252.5,999.99,99.9,2.5,9,1
96,194,2007.008218,0.23,0.13,6.154,2.93,2.0,13.44,10.3,258.57,999.99,0.0,0.0,1,1
96,195,2008.479536,0.25,0.14,6.162,3.14,1.48,13.62,11.04,265.17,999.99,99.9,2.5,9,-1
96,196,2010.810854,0.23,0.14,6.169,4.41,2.33,13.73,10.77,270.91,999.99,0.0,0.0,1,1
96,197,2013.072172,0.23,0.13,6.172,5.53,2.26,13.81,10.6,276.72,999.99,99.9,2.5,9,-1
96,198,2014.693489,0.22,0.14,6.18,6.13,1.62,14.18,11.44,283.17,999.99,0.0,0.0,1,1
96,199,2016.774807,0.24,0.14,6.195,7.0,2.08,14.32,10.86,289.16,999.99,99.9,1.5,9,1
96,200,2018.036125,0.23,0.14,6.194,7.44,1.25,14.67,11.48,295.97,999.99,0.0,0.0,1,1
96,201,2020.047443,0.26,0.14,6.215,8.18,2.01,14.82,11.23,302.03,999.99,99.9,0.5,9,-1
96,202,2021.098761,0.23,0.13,6.201,8.57,1.05,14.62,12.12,309.05,999.99,0.0,0.0,1,1
96,203,2022.830079,0.26,0.13,6.216,8.99,1.73,14.76,11.87,315.39,999.99,99.9,1.5,9,1
96,204,2023.951397,0.25,0.13,6.224,9.6,1.12,14.78,12.56,322.34,999.99,0.0,0.0,1,1
96,205,2025.342715,0.26,0.11,6.233,9.68,1.4,15.16,12.81,329.02,999.99,99.9,1.5,9,1
96,206,2026.704033,0.24,0.13,6.233,10.61,1.35,15.27,12.88,335.73,999.99,0.0,0.0,1,1
96,207,2027.645351,0.25,0.13,6.241,10.23,0.94,15.8,13.3,342.86,999.99,99.9,3.5,9,-1
96,208,2028.906668,0.26,0.13,6.253,11.17,1.26,15.49,13.19,349.67,999.99,0.0,0.0,1,1
96,209,2029.547986,0.25,0.13,6.251,10.49,0.64,15.73,13.97,357.1,999.99,99.9,4.5,9,1
96,210,2030.929304,0.25,0.11,6.258,11.64,1.38,15.76,13.43,363.79,999.99,0.0,0.0,1,1
96,211,2031.480622,0.26,0.11,6.268,11.09,0.56,16.1,14.29,371.31,999.99,99.9,0.5,9,-1
96,212,2032.33194,0.25,0.09,6.266,11.65,0.85,15.91,14.17,378.53,999.99,0.0,0.0,1,1
96,213,2032.983258,0.25,0.09,6.274,11.23,0.65,16.45,14.92,385.95,999.99,99.9,0.5,9,-1
96,214,2033.604576,0.25,0.11,6.272,11.65,0.62,15.88,14.82,393.4,999.99,0.0,0.0,1,1
96,215,2034.005894,0.25,0.1,6.281,11.03,0.4,16.63,15.23,401.07,999.99,99.9,1.5,9,-1
96,216,2034.667212,0.25,0.09,6.287,11.58,0.67,16.6,14.82,408.48,999.99,0.0,0.0,1,1
96,217,2035.20853,0.25,0.06,6.297,11.17,0.54,17.54,15.61,416.01,999.99,99.9,1.5,9,-1
96,218,2035.359847,0.25,0.05,6.304,11.24,0.15,16.95,15.82,423.93,999.99,0.0,0.0,1,1
96,219,2035.411165,0.27,0.11,6.314,10.44,0.05,16.87,16.16,431.95,999.99,99.9,4.5,9,-1
96,220,2035.682483,0.24,0.04,6.31,10.64,0.27,16.84,15.84,439.75,999.99,0.0,0.0,1,1
96,221,2035.793801,0.24,0.04,6.318,10.03,0.12,16.93,16.1,447.71,999.99,99.9,4.5,9,-1
96,222,2035.935119,0.25,0.05,6.326,10.1,0.14,17.34,16.71,455.64,999.99,0.0,0.0,1,1
96,223,2036.136437,0.25,0.03,6.33,9.7,0.21,17.38,16.19,463.51,999.99,99.9,6.5,9,1
96,224,2035.997755,0.24,0.02,6.332,9.45,-0.14,17.62,17.0,471.72,999.99,0.0,0.0,1,1
96,225,2035.809073,0.23,0.02,6.334,8.83,-0.19,17.67,16.75,479.98,999.99,99.9,1.5,9,-1
96,226,2035.350391,0.23,0.01,6.337,8.3,-0.46,17.42,17.11,488.51,999.99,0.0,0.0,1,1
96,227,2035.291709,0.23,0.01,6.348,7.97,-0.05,18.05,17.21,496.64,999.99,99.9,0.5,9,-1
96,228,2034.773026,0.23,0.01,6.351,7.32,-0.52,17.66,17.54,505.23,999.99,0.0,0.0,1,1
96,229,2035.074344,0.22,-0.01,6.355,6.69,0.31,18.13,17.04,513.0,999.99,99.9,0.5,9,-1
96,230,2034.125662,0.21,-0.01,6.356,6.43,-0.95,999.99,18.03,522.02,999.99,0.0,0.0,1,1
97,119,1594.02836,0.16,0.0,5.713,4.74,999.99,-2.46,999.99,73.49,999.99,99.9,5.0,9,1
97,120,1605.159678,-0.12,0.0,5.702,3.95,11.14,-2.45,999.99,70.43,999.99,99.9,3.5,9,-1
97,121,1615.180996,-0.12,0.0,5.707,3.3,10.02,-2.09,-10.79,68.48,999.99,99.9,5.0,9,1
97,122,1626.182314,-0.12,0.01,5.712,2.56,11.0,-2.07,-12.06,65.55,999.99,99.9,3.5,9,-1
97,123,1635.523632,-0.11,0.01,5.72,1.99,9.35,-1.98,-9.22,64.28,999.99,99.9,5.0,9,1
97,124,1646.33495,0.05,-0.01,5.712,1.34,10.81,-1.62,-10.65,61.54,999.99,99.9,3.5,9,-1
97,125,1654.836268,0.0,0.0,5.716,0.0,8.5,-1.2,-7.94,61.11,999.99,99.9,3.0,9,1
97,126,1665.377585,0.0,0.0,5.721,0.0,10.54,-0.98,-10.17,58.64,999.99,99.9,3.5,9,-1
97,127,1671.968903,0.0,0.0,5.73,0.0,6.59,-0.73,-6.03,60.12,999.99,99.9,8.0,9,-1
97,128,1683.170221,0.04,-0.01,5.734,1.08,11.2,-0.82,-10.36,56.99,999.99,99.9,3.5,9,-1
97,129,1690.491539,-0.07,0.01,5.745,1.61,7.33,-0.33,-5.88,57.74,999.99,99.9,8.0,9,-1
97,130,1700.002857,0.13,0.05,5.76,1.95,9.51,-0.03,-8.15,56.3,999.99,99.9,3.5,9,-1
97,131,1708.714175,0.29,0.12,5.826,3.79,8.72,0.28,-7.15,55.66,999.99,99.9,3.0,9,1
97,132,1717.795493,0.25,0.12,5.81,4.27,9.07,0.41,-7.36,54.65,999.99,99.9,1.5,9,-1
97,133,1726.176811,0.29,0.11,5.838,5.78,8.39,0.7,-5.96,54.34,999.99,99.9,1.0,9,1
97,134,1735.188129,0.24,0.14,5.823,6.68,9.01,0.98,-6.8,53.4,999.99,99.9,1.5,9,-1
97,135,1743.159447,0.24,0.14,5.828,7.79,7.97,1.41,-5.49,53.5,999.99,99.9,1.0,9,1
97,136,1751.770764,0.27,0.16,5.848,8.67,8.61,1.13,-5.6,52.96,999.99,99.9,1.5,9,-1
97,137,1759.272082,0.27,0.14,5.85,9.36,7.5,1.28,-4.59,53.53,999.99,99.9,0.0,9,-1
97,138,1767.7634,0.28,0.16,5.861,10.4,8.49,1.51,-5.19,53.11,999.99,99.9,1.5,9,-1
97,139,1775.394718,0.29,0.17,5.876,11.27,7.63,1.9,-4.03,53.55,999.99,99.9,2.0,9,1
