Z,N,BE,QDE2t,QDE3t,QDE4t,QDE6t,QDB2t,QDB3t,QDB4t,QDB6t,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
40,91,933.05,0.04,0.13,-0.02,0.01,0.049,-0.178,0.031,0.003,-0.91,1.56,93.0,2.09,94.71,,
40,92,933.39,0.24,0.0,-0.06,0.0,0.261,0.0,0.101,0.023,-1.08,2.14,100.73,2.59,102.48,,
40,93,932.23,0.25,0.0,-0.05,0.0,0.272,0.0,0.09,0.02,-1.28,1.96,109.96,2.28,111.7,,
40,94,932.66,0.26,0.0,-0.04,0.0,0.283,0.0,0.08,0.018,-1.02,2.18,117.6,2.42,119.4,,
40,95,931.2,0.28,0.0,-0.03,0.01,0.305,0.0,0.073,0.005,-1.35,2.06,127.13,2.17,128.94,,
40,96,931.44,0.28,0.0,-0.02,0.01,0.305,0.0,0.06,0.002,-1.03,2.23,134.97,2.28,136.88,,
40,97,929.88,0.29,0.0,-0.01,0.01,0.317,0.0,0.051,-0.001,-1.41,1.97,144.6,1.96,146.59,,
41,33,550.96,-0.26,0.0,0.06,0.0,-0.268,0.0,-0.04,0.015,1.39,3.91,14.24,3.85,13.44,,
41,34,570.05,-0.26,0.0,0.06,-0.01,-0.269,0.0,-0.039,0.024,1.53,4.21,3.22,4.18,2.56,,
41,35,586.27,0.36,0.0,0.05,-0.03,0.402,0.0,-0.008,0.015,0.35,4.53,-4.93,4.4,-5.59,,
41,36,604.75,0.38,0.0,0.06,-0.02,0.426,0.0,-0.012,0.001,-0.58,4.2,-15.33,4.1,-15.88,,
41,37,620.28,0.38,0.0,0.07,-0.03,0.427,0.0,-0.026,0.005,-1.09,4.05,-22.79,3.93,-23.27,,
41,38,637.73,0.38,0.0,0.07,-0.02,0.428,0.0,-0.024,-0.004,-1.78,3.56,-32.17,3.49,-32.53,,
41,39,652.11,0.39,0.0,0.08,-0.02,0.441,0.0,-0.032,-0.009,-2.37,3.47,-38.48,3.37,-38.8,,
41,40,667.97,0.4,0.0,0.09,-0.01,0.455,0.0,-0.038,-0.023,-2.71,3.48,-46.27,3.44,-46.47,,
41,41,680.6,0.41,0.0,0.09,0.0,0.467,0.0,-0.032,-0.033,-2.85,3.74,-50.83,3.67,-51.37,,
41,42,695.06,-0.23,0.0,0.1,0.05,-0.234,0.0,-0.092,-0.019,0.58,3.78,-57.21,-58.96,0.315,3.8,-57.25
41,43,706.87,-0.23,0.0,0.1,0.05,-0.234,0.0,-0.092,-0.019,0.33,3.55,-60.96,3.56,-60.97,,
41,44,720.54,-0.23,0.0,0.1,0.05,-0.234,0.0,-0.092,-0.019,-0.08,3.07,-66.56,-67.15,0.224,3.1,-66.5
41,45,731.57,-0.23,0.0,0.09,0.05,-0.235,0.0,-0.081,-0.022,-0.21,2.76,-69.52,-69.83,0.085,2.77,-69.45
41,46,744.73,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,1.22,1.91,-74.6,-74.18,0.061,1.91,-74.52
41,47,755.31,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,0.52,1.22,-77.11,-76.07,0.101,1.22,-77.02
41,48,767.97,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,-0.86,0.05,-81.7,-80.65,0.027,0.05,-81.59
41,49,777.82,0.03,0.01,0.0,0.0,0.032,-0.014,0.0,0.0,-1.77,-0.69,-83.48,-82.66,0.005,-0.69,-83.36
41,50,789.5,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,-2.87,-1.66,-87.09,-86.63,0.004,-1.66,-86.96
41,51,797.07,0.02,0.01,-0.01,0.0,0.021,-0.014,0.012,0.0,-1.91,-0.86,-86.59,-86.45,0.003,-0.86,-86.46
41,52,806.13,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,-0.73,0.06,-87.57,-87.21,0.002,0.06,-87.44
41,53,812.74,0.02,0.01,0.0,0.0,0.021,-0.014,0.0,0.0,0.61,1.13,-86.12,-86.36,0.002,1.13,-85.99
41,54,820.86,-0.17,0.0,0.02,0.01,-0.176,0.0,-0.012,-0.006,0.51,2.29,-86.16,-86.78,0.002,2.31,-86.02
41,55,827.26,0.16,0.0,-0.02,0.01,0.172,0.0,0.036,-0.005,1.08,2.91,-84.49,-85.6,0.004,2.93,-84.36
41,56,835.41,0.22,0.0,0.01,0.02,0.24,0.0,0.011,-0.021,0.9,3.38,-84.57,-85.61,0.003,3.42,-84.42
41,57,841.51,0.24,0.0,0.01,0.02,0.262,0.0,0.015,-0.02,0.95,3.7,-82.59,-83.53,0.006,3.74,-82.46
41,58,849.39,0.27,0.0,0.01,0.01,0.296,0.0,0.021,-0.01,0.57,3.79,-82.41,-82.33,0.013,3.85,-82.27
41,59,854.87,0.37,0.0,0.03,0.01,0.412,0.0,0.027,-0.014,-1.92,4.14,-79.82,-79.94,0.026,4.22,-79.67
41,60,862.53,0.36,0.0,0.02,0.02,0.4,0.0,0.037,-0.019,-1.88,3.88,-79.4,-78.94,0.019,4.0,-79.22
41,61,868.02,0.36,0.0,0.02,0.02,0.4,0.0,0.037,-0.019,-2.12,3.65,-76.83,-76.35,0.041,3.74,-76.69
41,62,874.86,0.35,0.0,0.02,0.02,0.388,0.0,0.034,-0.02,-1.78,3.64,-75.59,-75.32,0.068,3.77,-75.44
41,63,879.7,0.35,0.0,0.03,0.02,0.389,0.0,0.022,-0.024,-1.84,3.54,-72.36,-72.22,0.105,3.64,-72.24
41,64,885.89,0.35,0.0,0.04,0.01,0.39,0.0,0.008,-0.019,-1.6,3.65,-70.48,-70.85,0.1,3.76,-70.35
41,65,890.12,0.34,0.0,0.05,0.0,0.379,0.0,-0.009,-0.014,-1.57,3.65,-66.64,3.73,-66.56,,
41,66,895.92,0.34,0.0,0.06,-0.01,0.38,0.0,-0.023,-0.009,-1.55,3.64,-64.37,3.76,-64.25,,
41,67,900.01,0.3,0.0,0.06,-0.02,0.333,0.0,-0.036,0.002,-0.95,3.32,-60.38,3.43,-60.28,,
41,68,905.49,0.3,0.0,0.07,-0.02,0.334,0.0,-0.048,-0.002,-1.19,3.14,-57.79,3.3,-57.64,,
41,69,909.17,0.3,0.0,0.08,-0.03,0.335,0.0,-0.062,0.004,-1.82,2.76,-53.4,2.97,-53.21,,
41,70,914.04,0.3,0.0,0.09,-0.03,0.336,0.0,-0.074,0.001,-1.93,2.74,-50.2,3.02,-49.93,,
41,71,916.92,0.29,0.0,0.08,-0.03,0.323,0.0,-0.064,0.005,-1.54,2.73,-45.01,2.96,-44.78,,
41,72,921.16,0.28,0.0,0.08,-0.03,0.312,0.0,-0.067,0.006,-0.98,2.89,-41.18,3.16,-40.91,,
41,73,923.73,-0.21,0.0,0.07,0.02,-0.217,0.0,-0.062,-0.002,0.38,2.78,-35.67,2.99,-35.46,,
41,74,928.22,-0.19,0.0,0.08,0.03,-0.195,0.0,-0.076,-0.01,0.04,2.28,-32.1,2.6,-31.75,,
41,75,931.11,-0.18,0.0,0.08,0.04,-0.184,0.0,-0.078,-0.02,-0.6,1.45,-26.91,1.84,-26.48,,
41,76,935.32,-0.16,0.0,0.08,0.04,-0.164,0.0,-0.081,-0.021,-1.06,0.83,-23.05,1.27,-22.55,,
41,77,937.61,-0.16,0.0,0.07,0.04,-0.164,0.0,-0.07,-0.023,-1.93,0.22,-17.28,0.6,-16.8,,
41,78,941.37,-0.15,0.0,0.07,0.03,-0.154,0.0,-0.071,-0.015,-2.37,-0.32,-12.96,0.0,-12.51,,
41,79,943.73,-0.15,0.0,0.07,0.03,-0.154,0.0,-0.071,-0.015,-3.42,-1.36,-7.25,-1.03,-6.76,,
41,80,947.33,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,-3.09,-2.11,-2.78,-2.11,-2.58,,
41,81,950.08,0.02,0.01,0.01,0.0,0.021,-0.013,-0.012,0.0,-5.09,-3.87,2.55,-3.86,2.8,,
41,82,953.82,0.01,0.01,-0.01,0.0,0.011,-0.014,0.012,0.0,-6.54,-5.12,6.87,-5.11,7.18,,
41,83,953.64,-0.02,0.0,-0.01,0.0,-0.021,0.0,0.012,0.0,-5.48,-4.29,15.12,-4.28,15.48,,
41,84,954.94,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,-4.54,-3.42,21.9,-3.42,22.31,,
41,85,954.45,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,-3.58,-2.58,30.47,-2.58,30.95,,
41,86,955.23,0.01,0.01,0.0,0.0,0.011,-0.013,0.0,0.0,-2.38,-1.52,37.76,-1.52,38.31,,
41,87,954.55,0.03,0.05,-0.01,0.0,0.033,-0.068,0.013,0.002,-1.88,-0.81,46.5,-0.74,47.2,,
41,88,955.22,0.03,0.07,-0.01,0.0,0.034,-0.095,0.014,0.004,-1.19,0.07,53.91,0.21,54.76,,
41,89,954.51,0.01,0.11,-0.01,0.02,0.016,-0.147,0.017,-0.012,-1.36,0.53,62.69,0.91,63.87,,
41,90,955.06,0.0,0.12,-0.02,0.02,0.006,-0.162,0.029,-0.01,-0.86,1.22,70.21,1.7,71.59,,
41,91,953.9,0.21,0.0,-0.05,0.0,0.227,0.0,0.081,0.016,-0.73,1.86,79.43,2.12,80.7,,
41,92,954.62,0.21,0.0,-0.05,0.0,0.227,0.0,0.081,0.016,-0.46,2.1,86.79,2.39,88.18,,
41,93,953.96,0.24,0.0,-0.05,0.0,0.261,0.0,0.088,0.019,-1.17,1.98,95.52,2.26,97.03,,
41,94,954.51,0.25,0.0,-0.05,0.01,0.271,0.0,0.091,0.01,-1.06,2.11,103.04,2.38,104.66,,
41,95,953.63,0.26,0.0,-0.04,0.01,0.282,0.0,0.08,0.007,-1.19,1.95,111.99,2.12,113.64,,
41,96,953.74,0.27,0.0,-0.02,0.01,0.294,0.0,0.058,0.001,-0.86,2.28,119.95,2.32,121.61,,
41,97,952.74,0.28,0.0,-0.01,0.01,0.306,0.0,0.048,-0.002,-1.23,1.99,129.03,1.98,130.77,,
41,98,952.81,0.29,0.0,0.0,0.01,0.318,0.0,0.038,-0.005,-1.24,2.11,137.03,2.07,138.9,,
41,99,951.63,0.29,0.0,0.01,0.01,0.318,0.0,0.026,-0.009,-1.59,1.76,146.28,1.7,148.28,,
42,35,584.96,-0.27,0.0,0.06,-0.01,-0.278,0.0,-0.037,0.024,1.44,4.17,3.68,4.13,3.06,,
42,36,603.84,0.36,0.0,0.06,-0.03,0.403,0.0,-0.02,0.01,0.12,4.35,-7.13,4.28,-7.69,,
42,37,619.66,0.36,0.0,0.06,-0.03,0.403,0.0,-0.02,0.01,-0.3,4.09,-14.89,4.0,-15.39,,
42,38,637.84,0.38,0.0,0.07,-0.02,0.428,0.0,-0.024,-0.004,-1.26,3.79,-24.99,3.73,-25.38,,
42,39,652.34,0.39,0.0,0.07,-0.01,0.44,0.0,-0.018,-0.014,-1.74,3.76,-31.42,3.68,-31.76,,
42,40,669.06,0.41,0.0,0.08,0.0,0.465,0.0,-0.02,-0.028,-2.29,3.8,-40.07,3.78,-40.29,,
42,41,682.34,0.43,0.0,0.09,0.01,0.492,0.0,-0.021,-0.042,-2.91,3.96,-45.28,3.91,-45.46,,
42,42,698.6,-0.23,0.0,0.1,0.05,-0.234,0.0,-0.092,-0.019,0.22,3.41,-53.47,3.45,-53.53,,
